ticker,name,sector,cap
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Mid
3MINDIA.NS,3M India Ltd.,Diversified,Mid
ABB.NS,ABB India Ltd.,Capital Goods,Large
ACC.NS,ACC Ltd.,Construction Materials,Mid
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,Small
AIAENG.NS,AIA Engineering Ltd.,Capital Goods,Mid
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,Mid
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Mid
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Mid
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,Small
AARTIIND.NS,Aarti Industries Ltd.,Chemicals,Small
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,Small
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,Mid
ACE.NS,Action Construction Equipment Ltd.,Capital Goods,Small
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,Large
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Large
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Large
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Large
ADANIPOWER.NS,Adani Power Ltd.,Power,Large
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Mid
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Mid
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Small
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Small
ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,Small
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,Small
CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods,Small
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Small
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,Small
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,Small
AFFLE.NS,Affle 3i Ltd.,Information Technology,Small
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,Mid
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Mid
ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,Small
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Small
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,Small
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,Large
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,Small
ANANTRAJ.NS,Anant Raj Ltd.,Realty,Small
ANGELONE.NS,Angel One Ltd.,Financial Services,Small
ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,Mid
ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,Small
APARINDS.NS,Apar Industries Ltd.,Capital Goods,Mid
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Large
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,Mid
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,Small
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,Small
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,Mid
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,Large
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,Small
ASTRAL.NS,Astral Ltd.,Capital Goods,Mid
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,Small
ATUL.NS,Atul Ltd.,Chemicals,Small
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Mid
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,Mid
DMART.NS,Avenue Supermarts Ltd.,Consumer Services,Large
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Large
BEML.NS,BEML Ltd.,Capital Goods,Small
BLS.NS,BLS International Services Ltd.,Consumer Services,Small
BSE.NS,BSE Ltd.,Financial Services,Mid
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,Large
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Large
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Large
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Large
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,Mid
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,Mid
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Small
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,Small
BANKBARODA.NS,Bank of Baroda,Financial Services,Large
BANKINDIA.NS,Bank of India,Financial Services,Mid
MAHABANK.NS,Bank of Maharashtra,Financial Services,Mid
BATAINDIA.NS,Bata India Ltd.,Consumer Durables,Small
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,Small
BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components,Small
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,Mid
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,Mid
BEL.NS,Bharat Electronics Ltd.,Capital Goods,Large
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,Mid
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,Mid
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Large
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,Large
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,Mid
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Small
GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,Mid
BIOCON.NS,Biocon Ltd.,Healthcare,Mid
BSOFT.NS,Birlasoft Ltd.,Information Technology,Small
BLUEDART.NS,Blue Dart Express Ltd.,Services,Small
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,Small
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,Mid
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,Small
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,Large
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,Small
BRIGADE.NS,Brigade Enterprises Ltd.,Realty,Small
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,Large
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,Small
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,Small
CESC.NS,CESC Ltd.,Power,Small
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,Large
CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components,Small
CRISIL.NS,CRISIL Ltd.,Financial Services,Mid
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,Small
CANBK.NS,Canara Bank,Financial Services,Large
CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,Small
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,Small
CGCL.NS,Capri Global Capital Ltd.,Financial Services,Small
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,Small
CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,Small
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,Small
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,Small
CEMPRO.NS,Cemindia Projects Ltd.,Construction,Small
CENTRALBK.NS,Central Bank of India,Financial Services,Small
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,Small
CHALET.NS,Chalet Hotels Ltd.,Consumer Services,Small
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Small
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Small
CHOICEIN.NS,Choice International Ltd.,Financial Services,Small
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,Small
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Large
CIPLA.NS,Cipla Ltd.,Healthcare,Large
CUB.NS,City Union Bank Ltd.,Financial Services,Small
